asin,site,marketplace_domain,url,observer_postcode,observer_location,location_status,brand,product_line,category,title,current_price,currency,list_price,discount,coupon_or_promo,deal_badge,availability,rating,review_count,sold_by,ships_from,scrape_status,fetched_at
B0F8VZ7QVX,US,amazon.com,https://www.amazon.com/dp/B0F8VZ7QVX,90001,,location_not_captured,NEW'C,iPhone 16 Pro / iPhone 17 / 17 Pro,Screen Protector,"NEW'C 3 Pack Designed for iPhone 16 Pro, iPhone 17, 17 Pro Screen Protector (6.3 inches), Enhanced Tempered Glass Protection with easy installation tool included, Case Friendly",7.98,USD,,,,,In Stock,4.6,314495,NetStone,Amazon,ok,2026-06-09T11:43:35+08:00
B0FJS7782G,FR,amazon.fr,https://www.amazon.fr/dp/B0FJS7782G,06200,,location_not_captured,TOCOL,iPhone 17,Screen Protector,"TOCOL 2 Pcs Tempered Glass for iPhone 17, Automatic Dust Removal, Bubble Free, 9H Hardness, Full Coverage Screen Protector, Compatible Phone Cases",9.16,EUR,9.99,-8%,Save 5% on qualifying items,,In stock,4.4,47638,HATOSHI-EU,Amazon,ok,2026-06-09T11:43:35+08:00
B0FJS7782G,IT,amazon.it,https://www.amazon.it/dp/B0FJS7782G,50121,,location_not_captured,TOCOL,iPhone 17,Screen Protector,"TOCOL iPhone 17 Tempered Glass Screen Protector, Automatic Dust Removal, Bubble-Free, 9H Hardness, Full Coverage, Case Compatible, 2 Pieces",13.99,EUR,,,,,In stock,4.5,46687,HATOSHI-EU,Amazon,ok,2026-06-09T11:43:35+08:00
B0FJS7782G,UK,amazon.co.uk,https://www.amazon.co.uk/dp/B0FJS7782G,WC1E 7HU,,location_not_captured,TOCOL,iPhone 17,Screen Protector,"TOCOL 2 Pack Screen Protector for iPhone 17, Instant Installation, Tempered Glass HD Clear, Military Grade Shatterproof Full Coverage Protection Case Friendly",8.32,GBP,,,Save 5% on any 4,,In stock,4.4,46698,HATOSHI-EU,Amazon,ok,2026-06-09T11:43:35+08:00
B0F8VZ7QVX,DE,amazon.de,https://www.amazon.de/dp/B0F8VZ7QVX,10115,,location_not_captured,NEW'C,iPhone 17 / 17 Pro / iPhone 16 Pro,Screen Protector,"NEW'C for iPhone 17, 17 Pro, iPhone 16 Pro (6.3 inches), Tempered Glass, Free from Scratches, 9H Hardness, HD Screen Protector, Ultra Clear, Ultra-Resistant, Easy Installation Tool Included Pack of 3",7.89,EUR,,,,,In stock,4.3,283815,NetStone,Amazon,ok_after_retry,2026-06-09T11:43:35+08:00
B0F8VZ7QVX,ES,amazon.es,https://www.amazon.es/dp/B0F8VZ7QVX,08007,,location_not_captured,NEW'C,iPhone 17 / 17 Pro / iPhone 16 Pro,Screen Protector,"NEW'C 3 Pieces, Screen Protector for iPhone 17, 17 Pro, iPhone 16 Pro (6.3 inches), Tempered Glass with Easy Installation Tool Included, Anti-Scratch, Anti-Fingerprint, 9H Hardness, Ultra Resistant",6.52,EUR,,,,,In stock,4.4,293341,NetStone,Amazon,ok_after_retry,2026-06-09T11:43:35+08:00
B0F8VZ7QVX,FR,amazon.fr,https://www.amazon.fr/dp/B0F8VZ7QVX,06200,,location_not_captured,NEW'C,iPhone 17 / 17 Pro / iPhone 16 Pro,Screen Protector,"NEW'C Pack of 3 Tempered Glass Screen Protector for iPhone 17, 17 Pro, iPhone 16 Pro (6.3 Inches) - Effective Scratch-Resistant - HD Transparent - Easy Installation Tool Included",6.57,EUR,,,,,In stock,4.4,295635,NetStone,Amazon,ok_after_retry,2026-06-09T11:43:35+08:00
B0F8VZ7QVX,IT,amazon.it,https://www.amazon.it/dp/B0F8VZ7QVX,50121,,location_not_captured,NEW'C,iPhone 17 / 17 Pro / iPhone 16 Pro,Screen Protector,"NEW'C 3 Pieces Tempered Glass for iPhone 17, 17 Pro, iPhone 16 Pro (6.3 inch), Anti-Scratch Screen Protector - Ultra Resistant - HD Clear - Easy Installation Tool Included",7.89,EUR,,,,,In stock,4.4,294935,NetStone,Amazon,ok_after_retry,2026-06-09T11:43:35+08:00
B0F8VZ7QVX,UK,amazon.co.uk,https://www.amazon.co.uk/dp/B0F8VZ7QVX,WC1E 7HU,,location_not_captured,NEW'C,iPhone 17 / 17 Pro / iPhone 16 Pro,Screen Protector,"NEW'C 3 Pack Designed for iPhone 17, 17 Pro, iPhone 16 Pro Screen Protector (6.3 inches), Enhanced Tempered Glass Protection with easy installation tool included,Case Friendly Ultra Resistant",4.99,GBP,,,,,In stock,4.3,185595,NetStone,Amazon,ok_after_retry,2026-06-09T11:43:35+08:00
B0FJL9J43M,DE,amazon.de,https://www.amazon.de/dp/B0FJL9J43M,10115,,location_not_captured,JETech,iPhone 17 6.3 Inch,Screen Protector,"JETech Screen Protector for iPhone 17 6.3 Inch, Tempered Glass Screen Protector with Easy Installation Tool, 9H Hardness, Does Not Influence on the Case, Pack of 3",6.71,EUR,,,Save 5% on qualifying multi-buy,,In stock,4.4,84648,JE EU Store,Amazon,ok,2026-06-09T11:43:35+08:00
B0FJL9J43M,ES,amazon.es,https://www.amazon.es/dp/B0FJL9J43M,08007,,location_not_captured,JETech,iPhone 17 6.3 Inches,Screen Protector,"JETech Screen Protector for iPhone 17 6.3 Inches, Tempered Glass with Easy Installation Frame, 9H Hardness, Case Friendly, 3 Pack",8.17,EUR,,,Save 5% on any 4 or more,,In stock,4.5,71546,JE EU Store,Amazon,ok,2026-06-09T11:43:35+08:00
