asin,site,marketplace_domain,url,observer_postcode,observer_location,location_status,brand,product_line,category,title,current_price,currency,list_price,discount,coupon_or_promo,deal_badge,availability,rating,review_count,sold_by,ships_from,scrape_status,fetched_at
B0D6G9QTXW,DE,amazon.de,https://www.amazon.de/dp/B0D6G9QTXW,10115,Liefern nach 10115‌ Berlin,location_ok,Tentoki,一代除尘仓,高清,"Tentoki für Panzerglas iPhone 15/16 Panzer Schutz Glas (6,1''), Schutzfolie kompatibel mit iPhone 16/15, Auto Dust-Elimination Panzerfolie [9H+] Full Screen [Bläschenfrei] 2 Stück",9.34,EUR,10.99,-15 %,,"Statt: 10,99 € Statt: 10,99€10,99€ Der Statt-Preis ist der mittlere Verkaufspreis oder „Mittelwert“, der von Kunden für ein Produkt auf Amazon.de gezahlt wurde (ausgenommen sind Preise, bei denen das Produkt für eine begrenzte Zeit im Angebot war und Preise im Amazon Haul-Shop). Amazon zeigt den Statt-Preis als Referenzpreis für Preisvergleichszwecke an.Weitere Informationen P.when('A', 'a-popover').execute('a-popover-count', function (A) { A.declarative('a-popover', 'mouseenter', function() { ue.count(""tooltip.popover.opened"", 1); }); });",Auf Lager,4.4,6564,Together Sell,Amazon Amazon Versand Amazon,ok_browser,2026-06-10T06:21:32.822Z
B0D6GBJTBJ,DE,amazon.de,https://www.amazon.de/dp/B0D6GBJTBJ,10115,Liefern nach 10115‌ Berlin,location_ok,Tentoki,一代除尘仓,高清,"Tentoki für Panzerglas iPhone 15 Pro Max Panzer Schutz Glas (6,7 Zoll), Schutzfolie kompatibel mit iPhone 15 Pro Max Auto Dust-Elimination [9H+ Härte Folie] [Kristallklar] [Bläschenfrei] 2 Stück",9.34,EUR,10.99,-15 %,,"Statt: 10,99 € Statt: 10,99€10,99€ Der Statt-Preis ist der mittlere Verkaufspreis oder „Mittelwert“, der von Kunden für ein Produkt auf Amazon.de gezahlt wurde (ausgenommen sind Preise, bei denen das Produkt für eine begrenzte Zeit im Angebot war und Preise im Amazon Haul-Shop). Amazon zeigt den Statt-Preis als Referenzpreis für Preisvergleichszwecke an.Weitere Informationen P.when('A', 'a-popover').execute('a-popover-count', function (A) { A.declarative('a-popover', 'mouseenter', function() { ue.count(""tooltip.popover.opened"", 1); }); });",Auf Lager,4.4,6564,Together Sell,Amazon Amazon Versand Amazon,ok_browser,2026-06-10T06:21:47.292Z
B0D6GBTMQ4,DE,amazon.de,https://www.amazon.de/dp/B0D6GBTMQ4,10115,Liefern nach 10115‌ Berlin,location_ok,Tentoki,一代除尘仓,防窥,"Tentoki sichtschutz für panzerglas iPhone 15 Pro 6,1 Zoll, Schutzfolie kompatibel mit Face ID, 25° Anti-Spionage 9H Schutz Glas [Auto Dust-Elimination][Ultra-Privatsphäre][HD klar][Blasenfrei] 2 Stück",14.44,EUR,16.99,-15 %,,"Statt: 16,99 € Statt: 16,99€16,99€ Der Statt-Preis ist der mittlere Verkaufspreis oder „Mittelwert“, der von Kunden für ein Produkt auf Amazon.de gezahlt wurde (ausgenommen sind Preise, bei denen das Produkt für eine begrenzte Zeit im Angebot war und Preise im Amazon Haul-Shop). Amazon zeigt den Statt-Preis als Referenzpreis für Preisvergleichszwecke an.Weitere Informationen P.when('A', 'a-popover').execute('a-popover-count', function (A) { A.declarative('a-popover', 'mouseenter', function() { ue.count(""tooltip.popover.opened"", 1); }); });",Auf Lager,4.4,6564,Together Sell,Amazon Amazon Versand Amazon,ok_browser,2026-06-10T06:21:59.335Z
B0D6GD59P8,DE,amazon.de,https://www.amazon.de/dp/B0D6GD59P8,10115,Liefern nach 10115‌ Berlin,location_ok,Tentoki,一代除尘仓,防窥,"Tentoki sichtschutz für panzerglas iPhone 15 Pro Max 6,7 Zoll, Schutzfolie kompatibel mit Face ID, 25° Anti-Spionage 9H+ Schutz Glas Auto Dust-Elimination [Ultra-Privatsphäre] [Blasenfrei] 2 Stück",14.44,EUR,16.99,-15 %,,"Statt: 16,99 € Statt: 16,99€16,99€ Der Statt-Preis ist der mittlere Verkaufspreis oder „Mittelwert“, der von Kunden für ein Produkt auf Amazon.de gezahlt wurde (ausgenommen sind Preise, bei denen das Produkt für eine begrenzte Zeit im Angebot war und Preise im Amazon Haul-Shop). Amazon zeigt den Statt-Preis als Referenzpreis für Preisvergleichszwecke an.Weitere Informationen P.when('A', 'a-popover').execute('a-popover-count', function (A) { A.declarative('a-popover', 'mouseenter', function() { ue.count(""tooltip.popover.opened"", 1); }); });",Auf Lager,4.4,6564,Together Sell,Amazon Amazon Versand Amazon,ok_browser,2026-06-10T06:22:11.275Z
B0D6GDM5HK,DE,amazon.de,https://www.amazon.de/dp/B0D6GDM5HK,10115,Liefern nach 10115‌ Berlin,location_ok,Tentoki,一代除尘仓,防窥,"Tentoki sichtschutz für panzerglas iPhone 15 Plus/14 Pro Max/16 Plus 6,7 Zoll, Schutzfolie kompatibel mit Face ID, 25° Anti-Spionage 9H+ Schutz Glas Auto Dust-Elimination [Ultra-Privatsphäre] 2 Stück",14.44,EUR,16.99,-15 %,,"Statt: 16,99 € Statt: 16,99€16,99€ Der Statt-Preis ist der mittlere Verkaufspreis oder „Mittelwert“, der von Kunden für ein Produkt auf Amazon.de gezahlt wurde (ausgenommen sind Preise, bei denen das Produkt für eine begrenzte Zeit im Angebot war und Preise im Amazon Haul-Shop). Amazon zeigt den Statt-Preis als Referenzpreis für Preisvergleichszwecke an.Weitere Informationen P.when('A', 'a-popover').execute('a-popover-count', function (A) { A.declarative('a-popover', 'mouseenter', function() { ue.count(""tooltip.popover.opened"", 1); }); });",Auf Lager,4.4,6564,Together Sell,Amazon Amazon Versand Amazon,ok_browser,2026-06-10T06:22:23.335Z
B0D6GDXJMH,DE,amazon.de,https://www.amazon.de/dp/B0D6GDXJMH,10115,Liefern nach 10115‌ Berlin,location_ok,Tentoki,一代除尘仓,高清,"Tentoki für Panzerglas iPhone 15 Plus/16 Plus Panzer Schutz Glas (6,7 zoll), Schutzfolie kompatibel mit iPhone 15 Plus/16Plus, Auto Dust-Elimination [9H+] [Bläschenfrei] 2 Stück",10.99,EUR,,,,,Auf Lager,4.4,6564,Together Sell,Amazon Amazon Versand Amazon,ok_browser,2026-06-10T06:22:35.379Z
B0D6GFPSGT,DE,amazon.de,https://www.amazon.de/dp/B0D6GFPSGT,10115,Liefern nach 10115‌ Berlin,location_ok,Tentoki,一代除尘仓,高清,"Tentoki für Panzerglas iPhone 15 Pro Panzer Schutz Glas (6,1 Zoll), Schutzfolie kompatibel mit iPhone 15 Pro, Auto Dust-Elimination Panzerfolie [9H+ Härte Folie][Kristallklar][Bläschenfrei] 2 Stück",10.99,EUR,,,,,Auf Lager,4.4,6564,Together Sell,Amazon Amazon Versand Amazon,ok_browser,2026-06-10T06:22:47.694Z
B0D93SYTKK,DE,amazon.de,https://www.amazon.de/dp/B0D93SYTKK,10115,Liefern nach 10115‌ Berlin,location_ok,Tentoki,一代除尘仓,防窥,"Tentoki sichtschutz für panzerglas iPhone 13 Pro Max / 14 Plus 6,7'', Schutzfolie kompatibel mit Face ID, 25°Anti-Spionage 9H Schutz Glas [Ultra Privatsphäre][Auto Dust-Elimination][HD-Klar] 2 Stück",14.44,EUR,16.99,-15 %,,"Statt: 16,99 € Statt: 16,99€16,99€ Der Statt-Preis ist der mittlere Verkaufspreis oder „Mittelwert“, der von Kunden für ein Produkt auf Amazon.de gezahlt wurde (ausgenommen sind Preise, bei denen das Produkt für eine begrenzte Zeit im Angebot war und Preise im Amazon Haul-Shop). Amazon zeigt den Statt-Preis als Referenzpreis für Preisvergleichszwecke an.Weitere Informationen P.when('A', 'a-popover').execute('a-popover-count', function (A) { A.declarative('a-popover', 'mouseenter', function() { ue.count(""tooltip.popover.opened"", 1); }); });",Auf Lager,4.4,6564,Together Sell,Amazon Amazon Versand Amazon,ok_browser,2026-06-10T06:22:59.703Z
B0DBGY1GH6,DE,amazon.de,https://www.amazon.de/dp/B0DBGY1GH6,10115,Liefern nach 10115‌ Berlin,location_ok,Tentoki,一代除尘仓,高清,"Tentoki für Panzerglas iPhone 14 Pro Panzer Schutz Glas (6,1‘’), Schutzfolie kompatibel mit iPhone 14 Pro, Displayschutz Folie Hüllenfreundlich [9H Härte][Auto Dust-Elimination][Bläschenfrei] 2 Stück",9.34,EUR,10.99,-15 %,,"Statt: 10,99 € Statt: 10,99€10,99€ Der Statt-Preis ist der mittlere Verkaufspreis oder „Mittelwert“, der von Kunden für ein Produkt auf Amazon.de gezahlt wurde (ausgenommen sind Preise, bei denen das Produkt für eine begrenzte Zeit im Angebot war und Preise im Amazon Haul-Shop). Amazon zeigt den Statt-Preis als Referenzpreis für Preisvergleichszwecke an.Weitere Informationen P.when('A', 'a-popover').execute('a-popover-count', function (A) { A.declarative('a-popover', 'mouseenter', function() { ue.count(""tooltip.popover.opened"", 1); }); });",Auf Lager,4.4,6564,Together Sell,Amazon Amazon Versand Amazon,ok_browser,2026-06-10T06:23:11.687Z
B0DBTXPW3X,DE,amazon.de,https://www.amazon.de/dp/B0DBTXPW3X,10115,Liefern nach 10115‌ Berlin,location_ok,Tentoki,一代除尘仓,高清,"Tentoki für Panzerglas Sichtschutz iPhone 13/13Pro/14/16e/17e (6.1 Zoll), 25° Anti-Spionage kompatibel mit Face ID, 9H Schutzglas Glas,[Auto Dust Elimination mit Ultra Fit Tray] 2 Stück",16.14,EUR,16.99,-5 %,,"Statt: 16,99 € Statt: 16,99€16,99€ Der Statt-Preis ist der mittlere Verkaufspreis oder „Mittelwert“, der von Kunden für ein Produkt auf Amazon.de gezahlt wurde (ausgenommen sind Preise, bei denen das Produkt für eine begrenzte Zeit im Angebot war und Preise im Amazon Haul-Shop). Amazon zeigt den Statt-Preis als Referenzpreis für Preisvergleichszwecke an.Weitere Informationen P.when('A', 'a-popover').execute('a-popover-count', function (A) { A.declarative('a-popover', 'mouseenter', function() { ue.count(""tooltip.popover.opened"", 1); }); });",Auf Lager,4.3,1092,Together Sell,Amazon Amazon Versand Amazon,ok_browser,2026-06-10T06:23:23.376Z
